,Age,Gender,self_employed,family_history,treatment,work_interfere,no_employees,remote_work,tech_company,benefits,care_options,wellness_program,seek_help,anonymity,leave,mental_health_consequence,phys_health_consequence,coworkers,supervisor,mental_health_interview,phys_health_interview,mental_vs_physical,obs_consequence
0,0.6,1,0,0,0,3,5,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0
1,0.33333333333333337,1,0,0,0,3,4,0,1,1,0,1,1,0,1,1,1,2,2,2,2,1,0
2,0.3111111111111111,1,0,1,1,2,2,0,1,1,2,1,1,1,1,2,2,1,0,0,0,1,1
3,0.3111111111111111,1,0,0,0,1,1,1,1,2,0,0,0,0,0,1,1,1,2,2,2,0,0
4,0.35555555555555557,1,0,1,0,4,4,0,1,2,1,1,0,0,0,1,1,2,2,1,0,0,0
5,0.4,0,0,1,1,4,0,1,1,1,0,1,1,1,1,0,0,1,0,1,1,0,0
6,0.48888888888888893,1,0,0,0,1,0,1,1,1,2,1,1,2,0,1,1,0,0,1,1,1,0
7,0.5555555555555556,0,0,1,1,4,1,0,1,2,2,1,1,1,3,0,1,2,2,1,0,1,0
8,0.13333333333333333,1,0,0,0,1,2,0,1,0,0,0,0,0,0,1,1,2,2,0,0,2,0
9,0.3111111111111111,1,0,0,1,4,4,1,1,0,0,1,1,0,0,1,1,1,2,1,1,0,0
10,0.26666666666666666,1,0,0,0,1,1,1,1,0,1,1,1,0,0,1,1,2,2,2,2,0,0
11,0.5555555555555556,0,0,1,1,4,2,0,0,2,2,1,1,0,1,2,2,2,2,0,0,1,1
12,0.4222222222222222,1,0,1,0,1,3,0,1,0,1,1,0,0,0,1,1,2,2,1,1,0,0
13,0.22222222222222224,1,0,0,0,1,4,0,1,0,1,0,0,0,2,1,1,1,1,0,2,2,0
14,0.26666666666666666,0,0,1,1,3,2,0,1,2,1,1,1,0,2,1,1,2,1,0,0,0,0
15,0.13333333333333333,1,0,0,1,4,2,1,1,0,0,0,0,0,4,0,1,1,0,0,0,1,0
16,0.33333333333333337,1,0,0,1,4,4,0,1,2,2,1,0,0,0,0,1,1,2,1,1,1,0
17,0.6444444444444445,1,1,1,0,4,0,1,1,2,1,2,0,2,4,1,1,2,2,1,2,2,1
18,0.4222222222222222,1,1,1,0,0,4,1,1,1,0,2,1,2,2,1,1,1,1,0,0,0,0
19,0.26666666666666666,1,0,1,1,4,1,0,1,2,2,1,1,1,1,0,1,1,1,1,1,1,0
20,0.3111111111111111,1,1,0,0,1,0,1,1,1,0,1,1,2,1,1,1,1,1,1,0,2,0
21,0.6444444444444445,1,0,0,1,2,2,1,1,2,2,1,1,0,0,0,1,1,2,1,0,1,0
22,0.5333333333333333,1,0,0,1,1,5,0,0,0,0,1,0,0,0,0,1,0,0,1,2,0,0
23,0.35555555555555557,1,0,1,1,3,2,0,1,2,1,0,2,2,0,1,1,2,2,1,2,0,0
24,0.4,1,0,1,1,4,5,0,0,2,2,1,0,1,4,2,1,1,2,1,2,1,0
25,0.35555555555555557,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,1,1,0,0
26,0.4,0,0,1,1,3,4,1,1,2,2,0,0,0,0,1,1,2,2,0,0,2,0
27,0.37777777777777777,1,0,0,1,4,2,1,1,0,1,1,0,0,1,1,1,1,0,1,1,1,0
28,0.4444444444444445,1,0,0,0,4,4,0,1,1,0,1,1,0,3,2,0,1,0,1,0,1,0
29,0.33333333333333337,1,0,0,0,1,4,1,1,1,0,1,1,0,0,2,2,1,1,1,0,1,0
30,0.3111111111111111,1,1,1,0,3,0,1,1,1,2,1,1,0,1,2,1,0,0,1,1,1,1
31,0.2888888888888889,1,0,1,1,4,3,1,1,0,0,1,1,2,2,0,1,1,2,1,2,0,0
32,0.5555555555555556,1,0,1,1,4,2,1,1,2,2,2,2,2,4,0,1,1,1,0,2,0,0
33,0.5111111111111112,0,0,0,1,4,0,0,1,2,2,1,1,0,0,0,1,1,0,1,0,2,0
34,0.22222222222222224,1,0,0,1,3,4,0,1,1,2,1,1,0,4,1,1,2,2,0,0,0,0
35,0.26666666666666666,1,0,0,0,3,0,0,1,1,0,1,1,0,4,2,0,1,0,1,1,0,0
36,0.4666666666666667,1,0,0,0,0,1,0,1,1,2,1,1,0,2,0,1,1,1,1,0,1,0
37,0.7333333333333334,1,0,0,0,0,1,0,1,2,2,1,0,0,0,1,1,1,2,1,0,0,0
38,0.4,1,0,0,1,3,5,1,1,2,2,1,2,2,4,1,1,2,2,0,0,2,0
39,0.15555555555555556,1,0,0,1,4,4,0,1,1,0,1,1,0,0,0,0,1,0,1,2,1,1
40,0.4,1,0,0,0,0,5,1,1,2,1,0,2,0,1,2,2,1,0,1,0,0,0
41,0.22222222222222224,1,0,1,1,4,0,0,1,1,2,1,1,2,3,0,1,1,0,1,1,2,0
42,0.022222222222222223,1,0,0,0,2,4,0,1,1,1,1,1,0,1,2,0,0,1,1,1,1,0
43,0.2888888888888889,1,0,0,1,4,2,0,1,0,0,1,1,0,0,1,1,0,0,1,0,0,0
44,0.4666666666666667,0,0,1,1,4,2,0,1,2,2,1,2,2,2,1,1,1,2,1,1,2,0
45,0.24444444444444446,1,0,0,0,0,2,0,1,0,1,1,1,0,0,1,0,1,2,0,2,0,0
46,0.37777777777777777,1,0,0,0,0,4,0,1,1,0,1,1,0,0,1,1,2,2,0,2,0,0
47,0.2,1,1,0,0,4,0,0,1,1,2,2,1,0,0,1,1,2,2,1,1,2,0
48,0.2888888888888889,1,0,1,1,3,2,0,1,2,0,1,0,0,0,0,1,1,2,1,1,0,0
49,0.11111111111111112,1,0,1,1,2,4,0,1,1,2,1,1,2,3,0,1,0,0,1,0,0,0
50,0.35555555555555557,1,0,0,0,0,1,1,1,0,1,0,0,0,0,1,1,1,2,0,0,0,0
51,0.3111111111111111,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0
52,0.33333333333333337,1,0,0,0,1,0,1,1,0,1,1,1,0,0,0,1,1,2,1,1,0,0
53,0.24444444444444446,1,0,0,0,0,1,0,1,1,0,1,1,0,0,1,1,0,0,1,0,0,0
54,0.22222222222222224,1,0,1,1,3,2,0,1,2,2,1,1,2,0,0,1,0,0,1,1,0,0
55,0.33333333333333337,1,0,1,0,0,4,1,1,0,0,1,1,0,2,1,1,2,2,1,1,2,0
56,0.15555555555555556,1,0,1,1,4,2,1,1,0,0,1,1,0,0,1,0,1,2,2,2,1,0
57,0.2,1,0,0,0,0,2,0,0,1,0,1,1,2,2,1,1,1,2,0,2,0,0
58,0.35555555555555557,1,0,1,1,2,4,1,1,0,0,1,1,1,1,2,1,0,0,1,0,0,0
59,0.6,1,0,1,1,4,5,0,0,2,0,1,0,0,0,2,0,1,0,1,0,0,1
60,0.2,0,0,0,1,4,2,1,1,0,1,2,2,2,4,1,1,2,2,0,2,2,0
61,0.22222222222222224,1,0,0,0,1,1,0,1,2,1,1,2,0,2,1,1,2,2,0,0,2,0
62,0.2,1,0,0,0,0,2,0,1,1,0,1,1,0,4,2,1,0,0,1,1,1,1
63,0.4,1,0,0,0,4,4,0,1,0,0,1,1,0,2,1,1,1,2,1,0,0,0
64,0.5111111111111112,1,0,1,0,4,5,1,1,2,2,2,2,0,0,2,0,1,0,1,1,1,1
65,0.13333333333333333,0,0,1,1,2,0,1,1,1,1,1,1,0,4,1,1,1,2,1,0,2,0
66,0.4222222222222222,1,0,0,0,4,1,1,1,2,0,0,2,0,0,0,1,1,1,0,2,2,0
67,0.3111111111111111,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0
68,0.37777777777777777,1,1,0,0,3,0,1,1,1,0,1,1,0,0,0,1,1,0,1,1,0,0
69,0.24444444444444446,1,0,0,0,1,2,0,1,1,0,1,1,0,0,0,1,1,1,1,1,0,0
70,0.37777777777777777,1,0,0,0,1,4,0,1,0,1,0,0,0,2,1,1,1,2,1,1,0,0
71,0.13333333333333333,2,0,0,0,3,5,0,1,2,2,1,1,2,1,0,1,2,2,1,1,1,0
72,0.4666666666666667,1,0,0,0,0,2,0,1,1,0,1,0,2,2,1,1,1,2,0,2,2,0
73,0.35555555555555557,1,0,0,0,1,5,0,1,0,1,2,0,0,0,0,1,1,1,1,0,2,0
74,0.044444444444444446,1,0,0,0,0,0,0,1,1,2,1,1,1,1,2,1,0,0,1,0,1,0
75,0.17777777777777778,1,0,0,0,0,5,1,1,2,2,2,2,0,0,1,1,2,2,0,2,2,0
76,0.3111111111111111,1,1,1,0,4,0,1,1,1,0,1,1,2,1,1,1,2,2,0,0,2,0
77,0.33333333333333337,1,0,1,1,4,2,1,1,1,0,1,1,0,1,2,1,1,0,1,2,1,0
78,0.24444444444444446,1,0,0,0,1,4,1,1,0,0,0,0,0,4,1,1,1,1,0,2,2,0
79,0.4666666666666667,1,0,1,0,4,1,1,1,2,2,1,2,0,0,1,1,2,1,0,0,2,0
80,0.13333333333333333,1,0,0,0,1,2,0,1,2,1,2,0,0,4,1,1,1,2,0,0,2,0
81,0.2888888888888889,1,0,0,0,1,2,0,0,1,0,1,1,0,0,1,1,1,2,1,1,1,0
82,0.22222222222222224,0,1,0,1,2,0,1,1,2,2,2,2,2,4,0,0,1,2,1,0,2,0
83,0.35555555555555557,1,0,1,0,1,5,0,1,1,0,1,1,0,0,2,1,0,0,1,0,1,0
84,0.3111111111111111,1,0,0,0,0,2,0,1,0,1,1,1,0,0,1,1,1,2,0,0,1,0
85,0.48888888888888893,1,1,0,1,2,4,0,1,1,0,1,1,0,3,0,1,1,0,1,0,1,1
86,0.37777777777777777,0,0,1,1,3,3,1,1,2,1,1,0,0,0,2,0,1,1,1,1,0,0
87,0.26666666666666666,0,0,0,1,4,2,0,1,2,2,1,1,0,0,0,1,1,1,1,0,1,1
88,0.33333333333333337,1,0,0,0,0,3,0,1,0,0,1,0,0,0,1,1,1,1,1,1,0,0
89,0.3111111111111111,1,0,0,0,1,3,0,1,2,2,2,2,2,2,1,1,1,2,1,1,2,0
90,0.5111111111111112,1,0,0,1,4,2,0,1,1,2,1,1,2,3,1,1,2,2,2,2,1,0
91,0.37777777777777777,1,0,0,0,0,2,0,1,0,0,1,1,0,2,0,1,1,0,1,0,0,0
92,0.022222222222222223,2,0,0,0,0,2,1,1,2,2,1,1,2,2,1,1,2,2,2,2,0,0
93,0.17777777777777778,0,0,0,1,4,2,0,1,2,2,1,0,0,0,0,1,1,2,1,0,0,0
94,0.26666666666666666,1,0,0,0,1,2,0,1,0,0,1,0,0,0,1,1,2,2,0,0,1,0
95,0.15555555555555556,1,0,1,0,3,2,0,1,0,1,1,0,0,2,0,0,1,0,1,0,0,0
96,0.3111111111111111,1,0,1,1,4,4,0,1,0,0,1,1,0,0,1,1,1,2,0,2,1,0
97,0.35555555555555557,1,0,0,1,4,4,0,1,1,2,1,1,0,2,0,1,1,0,1,0,1,0
98,0.2888888888888889,1,0,0,1,2,0,0,1,1,2,1,1,2,2,1,1,2,2,0,0,2,0
99,0.2,0,0,1,1,4,2,0,0,1,2,1,1,1,3,2,1,0,0,1,0,1,1
100,0.6,0,0,0,0,1,1,0,1,2,1,0,0,0,0,0,0,0,1,1,1,0,0
101,0.17777777777777778,1,0,1,0,0,2,0,1,0,0,0,0,0,4,1,1,1,2,1,1,0,0
102,0.35555555555555557,1,0,1,1,4,2,1,1,2,2,2,2,2,2,1,1,1,2,0,0,2,0
103,0.26666666666666666,1,0,0,0,1,5,0,1,2,1,2,0,0,2,1,1,1,2,1,1,0,0
104,0.4,1,0,1,0,3,4,0,1,2,1,1,1,2,2,1,1,1,2,1,1,0,0
105,0.4,1,0,1,1,4,2,1,1,0,1,1,1,0,2,1,1,1,2,1,0,1,0
106,0.24444444444444446,1,0,1,1,3,4,0,1,1,0,1,1,1,0,0,1,2,2,1,1,0,1
107,0.37777777777777777,1,0,1,0,1,4,1,1,2,0,1,1,0,0,0,1,0,0,1,1,0,0
108,0.33333333333333337,1,0,0,1,4,2,0,1,2,0,2,2,2,1,0,1,1,2,1,0,2,0
109,0.11111111111111112,1,0,0,1,4,3,0,1,2,2,1,0,2,0,2,1,0,0,1,2,1,0
110,0.24444444444444446,1,0,0,1,4,2,0,1,2,2,2,2,2,2,1,1,1,1,1,0,2,0
111,0.6222222222222222,1,0,1,1,3,4,1,1,2,2,1,2,2,4,1,1,2,2,2,2,2,0
112,0.33333333333333337,1,0,0,0,1,1,0,1,2,2,1,0,0,0,0,1,1,1,1,1,0,0
113,0.24444444444444446,1,0,0,0,0,5,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0
114,0.2,1,0,0,0,1,4,0,1,0,0,1,0,0,4,1,1,1,1,1,1,0,1
115,0.08888888888888889,1,1,0,0,2,0,1,0,1,2,1,1,2,3,2,1,1,2,1,0,1,0
116,0.22222222222222224,1,0,0,0,3,4,0,0,2,2,2,2,2,4,0,1,1,2,1,1,0,0
117,0.022222222222222223,1,0,0,1,3,0,1,1,1,0,1,1,2,4,1,1,1,0,1,1,0,0
118,0.4,1,0,0,0,0,2,1,1,0,1,1,0,0,0,1,1,1,2,0,0,0,0
119,0.26666666666666666,1,0,0,0,1,5,0,1,2,2,1,2,0,0,2,2,0,0,1,1,0,0
120,0.17777777777777778,1,0,0,0,0,2,1,1,0,0,1,1,0,4,1,1,1,2,1,1,0,0
121,0.35555555555555557,1,0,1,1,4,4,1,1,0,0,0,0,2,4,1,1,2,2,1,0,2,0
122,0.4222222222222222,1,0,0,0,2,4,0,1,2,0,1,1,2,0,0,1,0,0,1,1,0,0
123,0.22222222222222224,1,0,0,1,1,1,0,0,2,1,1,1,0,3,0,1,1,2,1,0,1,1
124,0.22222222222222224,1,0,1,0,1,3,0,1,2,0,2,2,2,0,2,1,1,0,1,2,0,0
125,0.22222222222222224,1,0,0,0,0,4,0,1,1,0,1,1,0,0,1,1,1,1,1,1,0,0
126,0.33333333333333337,1,0,0,1,3,1,0,1,2,2,1,2,2,0,2,1,0,2,1,1,0,0
127,0.3111111111111111,1,0,1,0,4,4,0,1,1,0,1,1,0,2,0,0,0,0,1,1,2,0
128,0.044444444444444446,1,0,0,1,4,4,0,1,0,0,1,1,0,2,2,2,1,0,1,1,0,0
129,0.35555555555555557,1,0,1,1,4,5,0,1,2,2,1,1,0,4,0,1,2,1,1,2,1,0
130,0.33333333333333337,1,0,0,0,3,0,1,1,1,2,1,1,0,3,0,1,2,1,1,2,0,0
131,0.22222222222222224,1,0,0,0,1,2,0,1,0,1,0,0,0,0,1,1,2,2,0,0,0,0
132,0.4666666666666667,1,0,0,0,0,2,1,1,1,2,1,1,2,2,1,1,2,2,0,2,1,0
133,0.15555555555555556,1,0,0,1,1,2,0,1,0,0,1,1,0,0,1,1,1,2,0,2,0,0
134,0.48888888888888893,1,0,0,0,1,2,0,0,1,0,1,1,0,0,2,0,0,0,1,1,0,0
135,0.24444444444444446,1,0,0,0,1,4,0,1,0,0,1,1,2,4,1,1,1,2,0,0,2,0
136,0.48888888888888893,1,0,0,1,2,5,0,1,2,1,1,1,0,2,1,1,2,2,1,1,0,0
137,0.26666666666666666,0,0,0,0,0,4,0,1,0,0,1,0,0,2,0,1,1,0,1,1,0,0
138,0.11111111111111112,1,0,0,0,0,4,1,1,0,0,0,1,0,2,1,1,1,1,1,1,0,0
139,0.4666666666666667,1,0,1,1,4,1,0,1,0,0,0,0,0,0,0,1,1,2,1,1,0,0
140,0.4444444444444445,1,1,0,1,4,5,0,0,1,2,2,2,2,3,2,2,1,0,1,0,2,0
141,0.4,1,0,0,0,1,2,1,0,0,1,0,0,0,0,2,1,1,0,1,0,0,0
142,0.33333333333333337,1,0,0,0,0,5,1,0,2,0,0,2,0,0,1,1,1,2,1,1,0,0
143,0.2888888888888889,0,0,1,0,0,5,1,1,0,1,1,0,0,0,0,0,1,1,1,0,0,0
144,0.4444444444444445,1,0,1,1,3,1,0,0,2,2,2,2,0,2,0,0,1,2,0,0,0,0
145,0.15555555555555556,1,0,0,0,1,4,0,1,1,0,1,1,2,0,0,0,0,1,1,1,0,0
146,0.13333333333333333,1,0,0,0,4,4,0,0,1,0,1,1,1,2,2,2,0,0,1,1,1,0
147,0.2888888888888889,1,0,0,1,3,1,0,1,1,2,2,2,0,2,2,1,1,0,1,1,1,1
148,0.26666666666666666,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,1,0,1,1,0,0,0
149,0.044444444444444446,1,1,1,0,0,0,1,1,0,1,1,2,2,2,0,1,1,1,0,0,0,0
150,0.33333333333333337,1,0,1,0,1,2,0,1,0,1,1,1,0,4,1,1,1,1,1,0,1,0
151,0.24444444444444446,1,0,0,0,3,4,1,1,1,0,1,1,0,0,1,1,2,2,0,2,2,0
152,0.4222222222222222,1,0,0,0,1,4,0,1,0,1,0,0,0,0,1,1,1,1,0,0,0,0
153,0.4444444444444445,1,0,1,1,3,5,0,0,2,2,2,2,2,1,2,0,1,0,1,2,1,1
154,0.17777777777777778,1,0,1,1,4,2,0,0,0,0,1,0,0,1,0,1,1,1,1,0,1,0
155,0.22222222222222224,1,0,1,1,4,5,0,1,0,0,1,0,0,0,1,1,0,1,1,0,0,0
156,0.2,1,0,0,0,2,2,0,0,0,1,1,1,0,0,2,0,1,2,1,0,1,0
157,0.22222222222222224,1,0,0,1,3,2,1,1,1,2,1,1,0,1,0,1,1,2,1,1,0,1
158,0.17777777777777778,1,0,1,1,4,2,0,1,0,1,1,1,0,4,0,1,1,0,1,1,0,1
159,0.4222222222222222,1,0,0,1,4,5,0,0,2,2,2,2,2,2,0,0,1,1,1,0,0,1
160,0.17777777777777778,0,0,1,1,4,3,0,1,2,0,1,1,0,0,2,2,1,1,1,1,0,0
161,0.3111111111111111,1,0,0,0,1,5,0,1,2,0,1,2,0,0,1,1,1,1,1,1,0,0
162,0.2,1,0,1,0,3,4,0,1,0,0,1,1,0,0,0,1,1,2,1,1,0,0
163,0.35555555555555557,0,1,1,1,4,0,0,1,1,2,2,2,2,3,1,1,1,2,1,2,2,0
164,0.22222222222222224,0,1,1,0,0,0,1,1,1,2,1,1,2,2,1,1,2,2,1,0,2,0
165,0.37777777777777777,1,0,0,0,1,2,0,1,1,0,1,1,0,4,0,1,1,1,1,0,0,0
166,0.5555555555555556,1,0,0,0,0,4,0,1,1,2,1,1,0,3,0,1,2,2,1,0,1,0
167,0.13333333333333333,1,1,1,0,4,0,0,1,1,0,1,1,0,3,2,1,0,0,1,0,1,0
168,0.15555555555555556,1,0,0,0,3,1,0,1,0,1,2,0,0,4,0,0,1,1,1,0,0,0
169,0.2,1,0,0,1,4,5,0,1,2,2,0,0,2,2,1,1,2,2,1,1,0,0
170,0.3111111111111111,1,1,0,1,2,4,0,1,0,0,1,1,0,0,0,1,1,2,1,0,0,0
171,0.11111111111111112,1,0,0,1,1,5,0,1,0,1,1,1,0,3,2,0,0,0,0,0,1,0
172,0.13333333333333333,0,0,0,0,0,4,0,1,0,0,1,0,0,0,0,0,1,2,1,0,2,0
173,0.37777777777777777,0,0,1,1,4,5,0,0,2,2,2,1,0,2,1,1,1,2,1,1,1,0
174,0.3111111111111111,1,0,0,0,1,2,0,1,0,1,1,0,0,0,0,1,0,1,1,0,0,0
175,0.24444444444444446,1,0,0,0,0,1,0,0,1,1,1,2,2,2,1,1,1,1,0,0,2,0
176,0.33333333333333337,0,0,0,1,2,4,1,1,2,1,0,0,2,4,1,1,2,2,1,1,2,1
177,0.6222222222222222,0,0,0,1,4,0,0,1,2,0,1,1,2,1,1,1,2,2,1,1,2,0
178,0.35555555555555557,1,0,0,0,0,4,1,1,0,0,1,1,0,4,1,1,2,2,1,0,0,0
179,0.26666666666666666,1,0,0,0,1,4,1,1,1,0,1,1,1,0,0,0,0,2,0,2,1,0
180,0.2,0,1,0,0,4,4,0,0,1,0,1,1,0,2,0,0,1,1,1,1,0,0
181,0.24444444444444446,0,0,0,0,1,2,0,1,0,0,1,0,2,2,1,1,2,2,0,0,0,0
182,0.6222222222222222,1,0,0,1,4,5,0,1,0,1,0,0,0,0,2,2,1,1,1,1,0,0
183,0.5777777777777778,1,0,1,1,2,5,1,1,2,1,1,0,0,3,2,0,0,0,1,1,1,0
184,0.4444444444444445,1,0,0,0,0,3,1,1,2,0,1,1,0,0,2,1,1,0,0,2,1,0
185,0.15555555555555556,1,0,0,0,4,4,0,1,0,0,1,0,0,2,0,1,1,2,0,2,2,0
186,0.2,1,0,0,0,0,4,1,1,1,2,1,1,0,2,1,1,1,0,1,0,2,0
187,0.13333333333333333,1,0,1,0,0,0,1,1,0,0,1,1,0,0,1,1,1,2,0,2,0,0
188,0.4,0,0,1,1,1,5,0,1,2,1,0,1,2,2,0,1,0,0,1,1,0,0
189,0.4666666666666667,0,1,1,1,2,0,1,1,1,2,1,1,2,2,0,0,1,1,1,0,0,1
190,0.24444444444444446,1,0,1,1,4,2,0,1,2,0,1,1,0,2,0,0,1,0,1,0,1,0
191,0.24444444444444446,1,0,0,0,4,2,0,1,1,0,1,1,0,0,2,0,0,0,1,0,0,0
192,0.4,1,0,0,1,3,4,0,1,1,0,1,1,2,0,1,1,1,2,1,1,0,0
193,0.33333333333333337,0,0,0,0,4,1,0,1,1,0,1,1,0,3,2,2,1,0,1,1,1,1
194,0.3111111111111111,1,1,1,0,1,4,0,1,1,0,1,1,0,2,0,0,1,1,1,0,0,0
195,0.4,0,0,0,0,1,3,1,1,0,1,1,1,0,0,0,0,1,0,1,1,0,0
196,0.2,1,0,0,0,3,5,0,1,2,0,1,1,2,2,1,1,1,2,1,0,1,0
197,0.22222222222222224,1,0,1,0,0,4,1,1,2,2,1,1,0,2,0,0,1,1,1,0,2,0
198,0.24444444444444446,1,0,1,1,4,5,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0
199,0.22222222222222224,0,0,1,1,4,2,0,1,2,0,1,1,0,4,1,1,1,1,1,1,2,0
200,0.37777777777777777,0,0,0,1,4,3,0,0,2,2,2,2,2,2,0,1,1,2,1,1,2,0
201,0.5333333333333333,1,0,0,1,2,4,1,1,1,1,1,1,0,3,0,0,1,1,0,0,0,0
202,0.4444444444444445,1,0,0,0,4,0,0,1,1,2,1,1,0,3,2,1,0,0,1,2,0,0
203,0.37777777777777777,1,0,1,0,0,1,1,1,0,0,0,0,0,4,1,1,2,2,1,1,2,0
204,0.33333333333333337,1,0,1,1,4,1,1,1,0,1,1,1,0,1,2,0,0,0,1,1,1,1
205,0.08888888888888889,1,0,0,1,4,4,1,1,1,2,1,1,0,1,1,1,1,1,0,0,2,0
206,0.2888888888888889,1,0,0,1,2,2,0,1,1,2,1,1,2,2,0,1,2,2,1,0,0,0
